Lettre A  - NIVEAU 2  - 20 séries (3 séries de 31 mots et 17 séries de 32 mots) - 637 mots,
,
série 1 ,
ange,
autre,
aveugle,
barque,
blancheur,
blanchir,
cadre,
campagne,2 fois
canon,
chantre,
chapeau,2 fois
chaque,
charitable,2 fois
coupable,
créature,
demain,
écharpe,
épargne,
fauve,
garde,
gauche,
jaune,
labeur,
lac,
larme,
madame,2 fois
magique,
maitre,
malin,
papier,
pardon,
,
,
,
série 5,
dame,
date,
demande,
désagréable,2 fois
eau,
engager,
escalier,
farine,
fatigue,
favorable,2 fois
grandir,
grave,
laboureur,
laine,
manger,
mari,
marquer,
matinal,2 fois
ménagerie,
muraille,
naturellement,
ouvrage,
page,
paille,
paire,
partir,
pays,
peau,
plaque,
plat,
prairie,
pratiquer,
,
,
,
,
série 9,
cabane,2 fois
cacher,
cadeau,2 fois
caisse,
calme,
canif,
cantique,
capable,2 fois
cause,
chameau,2 fois
changement,
chaud,
chaumière,
clairon,
cultivateur,
dangereux,
drapeau,2 fois
également,
épaule,
étage,
étudiant,
explication,
farouche,
faucheur,
garniture,
glace,
gratitude,
invitation,
jamais,2 fois
jardinage,2 fois
lilas,
local,
,
,
,
,
série 13,
mauvais,2 fois
mécanique,
médaille,
métal,
militaire,
morale,
nager,
natal,2 fois
normal,
pain,
palais,2 fois
panorama,3 fois
parc,
parfois,
parquet,
pas,
paysage,2 fois
pelage,
personnage,
piano,
plaine,
plaire,
plateau,2 fois
ravin,
ravir,
rayon,
refrain,
répartir,
ruban,
sacrifice,
sagesse,
sauter,
,
,
,
,
série 17,
probablement,
puissance,
puissant,
qualité,
quand,
ramener,
rapidité,
ravage,2 fois
regagner,
relation,
réparer,
riant,
rideau,
royaume,
sacrement,
sacrifier,
salir,
saluer,
sans,
santé,
satisfaction,2 fois
satisfait,2 fois
seau,
signal,
soudain,
station,
tas,
tentation,
terrain,
troupeau,
vallée,
veau,
,
série 2,
parfait,2 fois
partie,
parvenir,
patte,
rare,
rat,
regard,
sabot,
soldat,
valeur,
vase,
vaste,
véritable,
abeille,
amateur,2 fois
amour,
ardoise,
avion,
avril,
bande,
barquette,
beau,
bras,
canal,2 fois
canard,2 fois
carabine,2 fois
caverne,
chant,
chaudement,
chevalier,
compagne,
,
,
,
série 6,
rame,
relatif,
respiration,
sang,
savoir,
serviable,
signature,
soulagement,
tache,
train,
tribunal,
voyageur,
affaiblir,2 fois
agent,
aile,
air,
armée,
bain,
balcon,
blanc,
bureau,
calculer,
camion,
capitaine,2 fois
car,
carnet,
charité,
compagnie,
comparer,
corbeau,
destination,
devant,
,
,
,
,
série 10,
marchand,2 fois
marchandise,2 fois
marché,
marteau,2 fois
méchant,
ménage,
ménager,
morceau,
nouveau,
panache,2 fois
pantalon,2 fois
paquet,
parfaitement,2 fois
parfum,
parler,
part,
particulier,
passé,
plaie,
préparation,2 fois
prochain,
quarante,2 fois
raisin,
rapide,
rapidement,
récréation,
relativement,
renouveau,
représentation,
romain,
sagement,
sauver,
,
,
,
,
série 14,
savant,2 fois
savon,
servante,
situation,
soulager,
souverain,
tailleur,
taire,
tonneau,
transformation,2 fois
valet,
valoir,
vivant,
acheteur,
agile,
aimable,2 fois
aise,
amicalement,2 fois
angle,
apprendre,
arbitre,
arbuste,
architecte,
ardent,
argent,
arracher,2 fois
attaque,2 fois
auberge,
automobile,
autrefois,
autrement,
avantage,3 fois
,
,
,
,
série 18,
abriter,
abuser,
actuellement,
admiration,2 fois
adresse,
agitation,2 fois
amusant,2 fois
animation,2 fois
approche,
arrivée,
aspirer,
atelier,
attendre,
attirer,
attribuer,
avance,2 fois
avoine,
ballon,
banane,2 fois
bandit,
beauté,
berceau,
calice,
camarade,3 fois
caractère,2 fois
casquette,
