Lettre S  - Niveau 3 - séries (19 séries de 28 mots et 1 série de 26 mots) - 558 mots,
,
série 1 ,
administration,
alors,
amuser,
blessure, 2 fois 
bossu, 2 fois 
chasser, 2 fois 
chausser, 2 fois 
composition,
constituer,
coussin, 2 fois 
défense,
dès,
descendre,
désir,
désoler,
dessiner, 2 fois 
dessous, 3 fois 
enseignement,
épuiser,
espace,
estimer,
excuse,
faiblesse, 2 fois 
favoriser,
forestier,
frais,
fraise,
geste,
,
,
série 5,
saut,
second,
s'écrier,
séjour,
sembler,
s'enfuir,
sentiment,
sérieusement, 2 fois 
serrure,
seuil,
sévir,
siècle,
signifier,
sort,
sourire,
succès,2 fois
supérieur,
toujours,
transformer,
troisième,
utiliser,
absolument,
arroser,
assurer, 2 fois 
auprès,
aussitôt, 2 fois 
aviser,
casser, 2 fois 
,
,
,
,
série 9,
paysan,
permission, 2 fois 
persuader,
plusieurs, 2 fois 
près,
professeur, 2 fois 
ravissant, 2 fois 
repasser, 2 fois 
reposer,
réserver,
résistance, 2 fois 
résultat,
rusé,
s'agenouiller,
saisir, 2 fois 
salut,
sautiller,
sécurité,
seize,
sensible, 2 fois 
séparer,
serrer,
sillon,
sirène,
société,
souffle,
splendeur,
stationner,
,
,
,
,
série 13,
étrennes,
excursion,
existence,
frissonner, 2 fois 
générosité,
hasard,
hors,
impossible, 2 fois 
institut,
lasser, 2 fois 
maitresse, 2 fois 
mansarde,
messager, 2 fois 
missel, 2 fois 
moins,
monseigneur,
pâtisserie, 2 fois 
pensionnaire,
quelquefois,
ramasser, 2 fois 
redescendre,
renseigner,
ressentir, 2 fois 
ruisseler, 2 fois 
science,
scier,
s'emparer,
sens, 2 fois 
,
,
,
,
série 17,
excuser,
hausser,2 fois
impossibilité,2 fois
kermesse,2 fois
longtemps,
moissonneur,2 fois
mystère,
occasionner,
oisillon,
opposer,
persévérer,
poids,
récompenser,
rendez-vous,
secours,
sermon,
sillonner,
soutien,
sucer,
tandis que,
vieillesse,2 fois
assez,2 fois
attrister,
bourgmestre,
buis,
concours,
condisciple,
correspondance,
,
série 2,
grandiose,
grès,
indispensable, 2 fois 
inspirer,
joyeusement,
lisière,
malheureusement,
manifester,
marquis,
masse, 2 fois 
massif, 2 fois 
mensonge,
obscurité,
observation,
passer, 2 fois 
pension,
peser,
préserver,
proposer,
provision,
représenter,
respirer,
sale,
seconde,
selon,
semblable,
sergent,
sérieux,
,
,
série 6,
consacrer,
consulter,
creuser,
curiosité,
dehors,
désastre,
description,
dessus, 3 fois 
discuter,
disparition,
économiser,
embrasser, 2 fois 
espérance,
glisser, 2 fois 
guérison,
hélas,
industriel,
là-bas,
majesté,
monsieur,
musicien,
obéissant, 2 fois 
obstacle,
paradis,
paresse, 2 fois 
passant, 2 fois 
passion, 2 fois 
poussière, 2 fois 
,
,
,
,
série 10,
viser,
absence,
ainsi,
aisément,
alentours,
assiette, 2 fois 
basse-cour, 2 fois 
bourgeois,
bousculer,
catastrophe,
cesser, 2 fois 
circonstance,
condoléances,
connaissance, 2 fois 
conseiller,
croiser,
dépasser, 2 fois 
désert,
désespoir, 2 fois 
distinguer,
écraser,
empressement, 2 fois 
entasser, 2 fois 
espiègle,
établissement, 2 fois 
exister,
français,
glissoire, 2 fois 
,
,
,
,
série 14,
souffler,
splendide,
suc,
supporter,
ténèbres,
tissu, 2 fois 
transparent,
user,
vers,
administrer,
aisé,
allégresse, 2 fois 
au-dessus, 2 fois 
blesser, 2 fois 
bouleverser,
caresser, 2 fois 
catéchisme,
descente,
désobéissance, 3 fois 
désormais, 2 fois 
dissiper, 2 fois 
ébats,
expression, 2 fois 
gigantesque,
gymnastique,
héros,
immense,
imposer,
,
,
,
,
série 18,
ensoleillé,
essai,2 fois
exquis,
hérissé,2 fois
maussade,2 fois
néanmoins,
ressource,2 fois
rez-de-chaussée,2 fois
scène,
s'efforcer,
sincèrement,
souterrain,
supposer,2 fois
sûr,
tressaillir,2 fois
apaiser,
baptiser,
bourrasque,
délaisser,2 fois
hésiter,
intense,
intéressant,2 fois
pensionnat,
physique,
possession,4 fois
procession,2 fois
sein,
souiller,
,
série 3,
serviette,
seulement,
sève,
sien,
signer,
sitôt,
situer,
solitaire,
son,
sou,
souffrance,
studieux,
stupéfaction,
suprême,
surprendre,
transporter,
très,
vacances,
verser,
adversaire,
anglais,
apostolique,
autoriser,
cas,
céleste,
congrès,
consentement,
conserver,
,
,
série 7,
presser, 2 fois 
rassurer, 2 fois 
réaliser,
récompense,
renseignement,
résister, 2 fois 
respect,
rossignol, 2 fois 
sain,
savoureux,
sévèrement,
signaler,
silencieusement, 2 fois 
silencieux,
sincère,
sinon,
sommet,
sonnette,
souhait,
soumettre,
spacieux,
spécialement,
succéder,
surmonter,
sursauter, 2 fois 
absent,
absolu,
accuser,
,
,
,
,
série 11,
illusion,
impression, 2 fois 
insister, 2 fois 
majestueux,
missionnaire, 2 fois 
obscur,
occasion,
paisiblement,
pardessus, 3 fois 
paresseux, 2 fois 
parsemer,
passager, 2 fois 
penser,
phrase,
pis,
posséder, 2 fois 
profession, 2 fois 
progrès,
rassembler, 2 fois 
repousser, 2 fois 
résigner,
réussir, 2 fois 
ruisselet, 2 fois 
s'absenter, 2 fois 
sauf,
sécher,
s'écrouler,
s'éloigner,
,
,
,
,
série 15,
installer,
laisser, 2 fois 
logis,
nécessaire, 2 fois 
oser,
précisément,
reconnaissant, 2 fois 
redresser, 2 fois 
représentant,
résonner,
retrousser, 2 fois 
séance,
souhaiter,
sursaut, 2 fois 
tapisser, 2 fois 
universel,
vêpres,
aisance,
appétissant, 2 fois 
assembler, 2 fois 
atmosphère,
ciseaux,
colis,
confesser, 2 fois 
cycliste,
débris,
décision,
désobéissant, 3 fois 
,
,
,
,
série 19,
talus,
angoisse,2 fois
déshabiller,
dessein,2 fois
discours,2 fois
intéresser,2 fois
obscurcir,
ressembler,2 fois
soupçonner,
taillis,
aiguiser,
attester,
chrysanthème,
compassion,2 fois
confus,
désespérer,2 fois
embarrasser,2 fois
myosotis,2 fois
offenser,
serein,
succulent,
supplier,
volontiers,
asseoir,2 fois
pittoresque,
raisonnable,
séminaire,
solennel,
,
série 4 ,
danser,
déposer,
dessert, 2 fois 
dispenser, 2 fois 
disputer,
ensemble,
épais,
épouser,
estomac,
isoler,
jadis,
las,
merveilleusement,
museau,
naissance, 2 fois 
organiser,
paisible,
paroisse, 2 fois 
personnel,
perspective,
présence,
propos,
refuser,
renverser,
résoudre,
risquer,
roseau,
sanglot,
,
,
série 8,
adresser, 2 fois 
après-midi,
arrondissement, 2 fois 
assidu, 2 fois 
assister, 3 fois 
baisser, 2 fois 
cesser, 2 fois 
comparaison,
composer,
constant,
corps,
cours,
désirer,
destiner,
divers,
espérer,
exposer,
exprès,
froisser, 2 fois 
graisse, 2 fois 
grossier, 2 fois 
illustrer,
imposant,
lors,
